date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.399324,10100.6390,10223.0080,9960.3580,10183.5300,10163.8620,1600694128,27892931840.0000,0.193509
2020-01-23,sz.399324,10071.5800,10071.5800,9715.7230,9783.9650,10183.5300,2121528368,36436108800.0000,-3.923639
2020-02-03,sz.399324,8815.0210,9077.7230,8815.0210,8877.7390,9783.9650,2006458784,37164648960.0000,-9.262359
2020-02-04,sz.399324,8789.9470,9149.3570,8789.9470,9149.3570,8877.7390,3041458384,45114575616.0000,3.059540
2020-02-05,sz.399324,9181.2000,9374.6240,9143.6180,9276.5630,9149.3570,2419702032,36625177856.0000,1.390327
2020-02-06,sz.399324,9327.2170,9450.1380,9192.5530,9416.4000,9276.5630,2481859440,33955299840.0000,1.507423
2020-02-07,sz.399324,9347.3580,9360.6180,9258.7700,9360.6180,9416.4000,2092825760,29835799808.0000,-0.592392
2020-02-10,sz.399324,9290.4730,9451.3770,9235.7780,9445.3670,9360.6180,2130676880,30825332736.0000,0.905378
2020-02-11,sz.399324,9489.3820,9686.1200,9462.3280,9634.1550,9445.3670,2012731936,31692048896.0000,1.998737
2020-02-12,sz.399324,9611.1660,9667.9020,9575.5490,9664.8860,9634.1550,1731157216,24746011648.0000,0.318980
2020-02-13,sz.399324,9661.1410,9727.1300,9585.9300,9619.5910,9664.8860,2011957024,27704595200.0000,-0.468655
2020-02-14,sz.399324,9605.7240,9707.6060,9591.6650,9696.8870,9619.5910,2033149376,28698478592.0000,0.803527
2020-02-17,sz.399324,9694.4150,9871.4870,9684.8830,9871.4870,9696.8870,2308187408,34472966912.0000,1.800578
2020-02-18,sz.399324,9857.3650,9857.3650,9725.1540,9802.0810,9871.4870,2698735184,32200865280.0000,-0.703096
2020-02-19,sz.399324,9785.9570,9922.8160,9773.0420,9860.0990,9802.0810,2515211760,34608322816.0000,0.591895
2020-02-20,sz.399324,9887.4480,10131.9710,9881.3390,10119.9760,9860.0990,3187779664,41720096768.0000,2.635643
2020-02-21,sz.399324,10097.9720,10136.5350,10023.8010,10063.8750,10119.9760,3197328240,40450260224.0000,-0.554359
